event,x,y,z,adc,zelem,layer
124,-31.3802,-0.142737,-94.07,1337.05,0,7
124,-31.3797,-0.218296,243.651,419.211,0,7
124,-31.3728,-0.695922,283.842,1366.85,0,7
124,-31.363,-1.04796,-49.7292,1588.51,0,7
124,-31.3552,-1.26049,26.921,373.41,0,7
124,-31.3507,-1.36662,189.244,2301.29,0,7
124,-31.3419,-1.55565,-81.4455,882.259,0,7
124,-31.3282,-1.81162,-23.5393,84.9666,0,7
124,-31.3238,-1.88633,231.184,298.839,0,7
124,-31.2904,-2.37569,245.836,1151.3,0,7
124,-31.2281,-3.08915,91.2377,441.093,0,7
124,-31.2082,-3.28395,-75.7749,416.324,0,7
124,-31.1965,-3.39363,-19.0499,324.313,0,7
124,-31.0451,-4.57583,225.324,7737.53,0,7
124,-31.0593,-4.47806,29.7948,504.583,0,7
124,-31.046,-4.56946,50.1546,271.536,0,7
124,-30.9309,-5.2928,-49.0576,836.402,0,7
124,-30.9907,-4.93059,254.268,202.492,0,7
124,-30.9624,-5.1054,202.75,603.188,0,7
124,-30.6551,-6.70836,234.59,2460.8,0,7
124,-30.6866,-6.56251,48.3762,1843.79,0,7
124,-30.5053,-7.35961,-83.9421,1107.26,0,7
124,-30.4206,-7.70199,-83.9411,736.878,0,7
124,-30.3957,-7.79997,-54.0411,718.824,0,7
124,-30.4214,-7.69898,234.747,43.319,0,7
124,-30.0359,-9.08745,235.12,344.537,0,7
124,-30.0131,-9.1625,109.709,951.553,0,7
124,-29.9722,-9.29545,-59.917,137.995,0,7
124,-29.9456,-9.3807,-92.923,152.067,0,7
124,-29.2522,-11.3599,-79.4682,41.6275,0,7
124,-29.2043,-11.4824,-59.1134,436.573,0,7
124,-29.0591,-11.845,235.701,514.103,0,7
124,-28.8547,-12.3346,215.005,1376.94,0,7
124,-28.4793,-13.1782,-73.4694,1018.06,0,7
124,-28.5146,-13.1017,240.981,314.58,0,7
124,-28.2421,-13.6791,192.592,804.389,0,7
124,-28.3536,-13.4465,251.932,58.0015,0,7
124,-28.0951,-13.9786,50.1249,513.296,0,7
124,-27.366,-15.357,227.651,8426.01,0,7
124,-27.7932,-14.5696,-45.9859,300.861,0,7
124,-27.5977,-14.9366,-18.3585,297.825,0,7
124,-27.2521,-15.5583,246.802,900.451,0,7
124,-27.2575,-15.5488,293.539,611.818,0,7
124,-26.9037,-16.1532,261.503,812.387,0,7
124,-26.9552,-16.0672,7.03869,36.3695,0,7
124,-26.4172,-16.9372,237.166,393.862,0,7
124,-26.3799,-16.9953,-44.8818,1056,0,7
124,-26.3663,-17.0163,8.91858,364.754,0,7
124,-25.9314,-17.672,8.74664,318.049,0,7
124,-25.5203,-18.2607,178.248,162.655,0,7
124,-25.0019,-18.9643,190.386,1115.81,0,7
124,-24.0744,-20.1286,249.572,653.409,0,7
124,-23.9355,-20.2935,-4.78595,1010.7,0,7
124,-23.636,-20.6415,-105.209,618.518,0,7
124,-23.0037,-21.344,39.3854,5234.11,0,7
124,-22.7385,-21.6262,281.446,33.1803,0,7
124,-22.4408,-21.9351,282.692,1034.84,0,7
124,-21.5965,-22.7668,7.20901,149742,0,7
124,-21.7894,-22.5823,-99.8033,3300.1,0,7
124,-21.9408,-22.4351,65.1705,46.3837,0,7
124,-21.6263,-22.7385,-52.338,77.707,0,7
124,-21.5725,-22.7896,-49.809,260.111,0,7
124,-21.5808,-22.7817,-47.197,92.2368,0,7
124,-21.4547,-22.9005,-62.8417,140.763,0,7
124,-19.6234,-24.4879,-57.0826,460.655,0,7
124,-19.2101,-24.8135,-59.4788,422.684,0,7
124,-19.2077,-24.8153,189.412,843.371,0,7
124,-18.6829,-25.2128,-84.3658,1105.85,0,7
124,-18.1254,-25.6165,95.1544,1536.71,0,7
124,-18.1792,-25.5784,207.291,1070.13,0,7
124,-17.3472,-26.1498,-62.2859,298.234,0,7
124,-17.6448,-25.9499,277.014,577.622,0,7
124,-17.0551,-26.3412,2.38804,379.48,0,7
124,-16.6254,-26.6145,-60.9296,262.747,0,7
124,-15.5664,-27.2474,-36.5672,417.021,0,7
124,-14.6714,-27.7396,-36.9533,464.391,0,7
124,-14.6917,-27.7289,-51.343,611.118,0,7
124,-14.2309,-27.9682,-60.556,18,0,7
124,-14.2309,-27.9682,282.46,13,0,7
