event,layer,phi,tbin,adc,zelem,x,y,z,plot_x,plot_y,plot_z
6,7,-3.13881,74,11,0,-31.3804,-0.0873833,-74.124,74,-6.99997,-0.0194925
6,7,-3.13881,75,334.153,0,-31.3804,-0.0873833,-73.7,75,-6.99997,-0.0194925
6,7,-3.13881,76,330.767,0,-31.3804,-0.0873833,-73.276,76,-6.99997,-0.0194925
6,7,-3.13881,77,45.7201,0,-31.3804,-0.0873833,-72.852,77,-6.99997,-0.0194925
6,7,-3.13881,269,119.137,0,-31.3804,-0.0873833,8.556,269,-6.99997,-0.0194925
6,7,-3.13881,270,74.7712,0,-31.3804,-0.0873833,8.98,270,-6.99997,-0.0194925
6,7,-3.13324,75,83.0277,0,-31.3794,-0.262175,-73.7,75,-6.99976,-0.058483
6,7,-3.13324,76,90.1756,0,-31.3794,-0.262175,-73.276,76,-6.99976,-0.058483
6,7,-3.13324,77,14.2699,0,-31.3794,-0.262175,-72.852,77,-6.99976,-0.058483
6,7,-3.13324,269,16.0139,0,-31.3794,-0.262175,8.556,269,-6.99976,-0.058483
6,7,-3.13324,270,16.2341,0,-31.3794,-0.262175,8.98,270,-6.99976,-0.058483
6,7,-3.13324,568,29.0277,0,-31.3794,-0.262175,135.332,568,-6.99976,-0.058483
6,7,-3.13324,569,90.4267,0,-31.3794,-0.262175,135.756,569,-6.99976,-0.058483
6,7,-3.13324,570,74.6241,0,-31.3794,-0.262175,136.18,570,-6.99976,-0.058483
6,7,-3.13324,571,48.4429,0,-31.3794,-0.262175,136.604,571,-6.99976,-0.058483
6,7,-3.13324,572,24.7896,0,-31.3794,-0.262175,137.028,572,-6.99976,-0.058483
6,7,-3.13324,671,49,0,-31.3794,-0.262175,179.004,671,-6.99976,-0.058483
6,7,-3.13324,672,133.68,0,-31.3794,-0.262175,179.428,672,-6.99976,-0.058483
6,7,-3.13324,673,69.4433,0,-31.3794,-0.262175,179.852,673,-6.99976,-0.058483
6,7,-3.12767,568,18,0,-31.3775,-0.436959,135.332,568,-6.99932,-0.0974718
6,7,-3.12767,569,51.2497,0,-31.3775,-0.436959,135.756,569,-6.99932,-0.0974718
6,7,-3.12767,570,43.9273,0,-31.3775,-0.436959,136.18,570,-6.99932,-0.0974718
6,7,-3.12767,571,67.4131,0,-31.3775,-0.436959,136.604,571,-6.99932,-0.0974718
6,7,-3.12767,572,26.16,0,-31.3775,-0.436959,137.028,572,-6.99932,-0.0974718
6,7,-3.12767,671,33.0277,0,-31.3775,-0.436959,179.004,671,-6.99932,-0.0974718
6,7,-3.12767,672,91.4821,0,-31.3775,-0.436959,179.428,672,-6.99932,-0.0974718
6,7,-3.12767,673,48.6868,0,-31.3775,-0.436959,179.852,673,-6.99932,-0.0974718
6,7,-3.1221,570,15.1706,0,-31.3745,-0.611729,136.18,570,-6.99867,-0.136457
6,7,-3.1221,571,35.3583,0,-31.3745,-0.611729,136.604,571,-6.99867,-0.136457
6,7,-3.1221,572,12.801,0,-31.3745,-0.611729,137.028,572,-6.99867,-0.136457
6,7,-3.1221,671,11,0,-31.3745,-0.611729,179.004,671,-6.99867,-0.136457
6,7,-3.1221,672,35.1526,0,-31.3745,-0.611729,179.428,672,-6.99867,-0.136457
6,7,-3.1221,673,19.6198,0,-31.3745,-0.611729,179.852,673,-6.99867,-0.136457
6,7,-3.09425,583,12.0139,0,-31.3453,-1.48519,141.692,583,-6.99216,-0.3313
6,7,-3.09425,584,12.1787,0,-31.3453,-1.48519,142.116,584,-6.99216,-0.3313
6,7,-3.08868,7,14.031,0,-31.3366,-1.65977,-102.532,7,-6.9902,-0.370242
6,7,-3.08868,8,18.2215,0,-31.3366,-1.65977,-102.108,8,-6.9902,-0.370242
6,7,-3.08868,9,11.4448,0,-31.3366,-1.65977,-101.684,9,-6.9902,-0.370242
6,7,-3.08868,10,12.5443,0,-31.3366,-1.65977,-101.26,10,-6.9902,-0.370242
6,7,-3.08868,583,22,0,-31.3366,-1.65977,141.692,583,-6.9902,-0.370242
6,7,-3.08868,584,20.3051,0,-31.3366,-1.65977,142.116,584,-6.9902,-0.370242
6,7,-3.08311,6,39.0277,0,-31.3268,-1.83429,-102.956,6,-6.98803,-0.409173
6,7,-3.08311,7,60.5654,0,-31.3268,-1.83429,-102.532,7,-6.98803,-0.409173
6,7,-3.08311,8,143.33,0,-31.3268,-1.83429,-102.108,8,-6.98803,-0.409173
6,7,-3.08311,9,315.141,0,-31.3268,-1.83429,-101.684,9,-6.98803,-0.409173
6,7,-3.08311,10,197.094,0,-31.3268,-1.83429,-101.26,10,-6.98803,-0.409173
6,7,-3.08311,11,31.8833,0,-31.3268,-1.83429,-100.836,11,-6.98803,-0.409173
6,7,-3.08311,583,53.111,0,-31.3268,-1.83429,141.692,583,-6.98803,-0.409173
6,7,-3.08311,584,39.8328,0,-31.3268,-1.83429,142.116,584,-6.98803,-0.409173
6,7,-3.07754,7,11.0555,0,-31.3161,-2.00876,-102.532,7,-6.98564,-0.448091
6,7,-3.07754,8,102.201,0,-31.3161,-2.00876,-102.108,8,-6.98564,-0.448091
6,7,-3.07754,9,140.592,0,-31.3161,-2.00876,-101.684,9,-6.98564,-0.448091
6,7,-3.07754,10,46.3302,0,-31.3161,-2.00876,-101.26,10,-6.98564,-0.448091
6,7,-3.07754,49,24.0181,0,-31.3161,-2.00876,-84.724,49,-6.98564,-0.448091
6,7,-3.07754,50,31.3488,0,-31.3161,-2.00876,-84.3,50,-6.98564,-0.448091
6,7,-3.07197,8,16.0292,0,-31.3045,-2.18316,-102.108,8,-6.98304,-0.486995
6,7,-3.07197,9,13.2476,0,-31.3045,-2.18316,-101.684,9,-6.98304,-0.486995
6,7,-3.07197,49,111.015,0,-31.3045,-2.18316,-84.724,49,-6.98304,-0.486995
6,7,-3.07197,50,145.553,0,-31.3045,-2.18316,-84.3,50,-6.98304,-0.486995
6,7,-3.07197,51,24.3652,0,-31.3045,-2.18316,-83.876,51,-6.98304,-0.486995
6,7,-3.0664,49,74,0,-31.2918,-2.3575,-84.724,49,-6.98022,-0.525884
6,7,-3.0664,50,116.026,0,-31.2918,-2.3575,-84.3,50,-6.98022,-0.525884
6,7,-3.0664,51,25.499,0,-31.2918,-2.3575,-83.876,51,-6.98022,-0.525884
6,7,-3.0664,655,35.0277,0,-31.2918,-2.3575,172.22,655,-6.98022,-0.525884
6,7,-3.0664,656,102.51,0,-31.2918,-2.3575,172.644,656,-6.98022,-0.525884
6,7,-3.0664,657,30.8638,0,-31.2918,-2.3575,173.068,657,-6.98022,-0.525884
6,7,-3.06083,655,54,0,-31.2782,-2.53177,172.22,655,-6.97718,-0.564758
6,7,-3.06083,656,148.749,0,-31.2782,-2.53177,172.644,656,-6.97718,-0.564758
6,7,-3.06083,657,39.7124,0,-31.2782,-2.53177,173.068,657,-6.97718,-0.564758
6,7,-3.05525,655,295.028,0,-31.2636,-2.70596,172.22,655,-6.97393,-0.603613
6,7,-3.05525,656,778.116,0,-31.2636,-2.70596,172.644,656,-6.97393,-0.603613
6,7,-3.05525,657,200.361,0,-31.2636,-2.70596,173.068,657,-6.97393,-0.603613
6,7,-3.05525,658,27.2279,0,-31.2636,-2.70596,173.492,658,-6.97393,-0.603613
6,7,-3.05525,659,13.5784,0,-31.2636,-2.70596,173.916,659,-6.97393,-0.603613
6,7,-3.05525,660,11.9592,0,-31.2636,-2.70596,174.34,660,-6.97393,-0.603613
6,7,-3.05525,661,11.533,0,-31.2636,-2.70596,174.764,661,-6.97393,-0.603613
6,7,-3.04968,655,41.0139,0,-31.2481,-2.88006,172.22,655,-6.97046,-0.64245
