event,x,y,z,adc,zelem,layer
6,-31.3803,-0.12343,-73.4529,909.113,0,7
6,-31.3783,-0.370617,136.214,537.391,0,7
6,-31.3783,-0.370636,179.467,491.092,0,7
6,-31.3325,-1.73503,141.884,159.441,0,7
6,-31.3009,-2.23377,-84.4223,551.826,0,7
6,-30.9343,-5.273,135.146,1465.59,0,7
6,-30.9268,-5.31659,80.2241,92.9248,0,7
6,-30.7761,-6.12909,220.739,1467.11,0,7
6,-28.3321,-13.4918,115.583,1355.46,0,7
6,-28.3286,-13.499,209.561,3310.43,0,7
6,-27.8731,-14.4162,-75.3858,356.092,0,7
6,-27.7178,-14.7126,186.312,486.202,0,7
6,-27.5716,-14.9847,103.426,2894.48,0,7
6,-26.6147,-16.625,-67.6015,9744.1,0,7
6,-26.6498,-16.5687,222.888,118.157,0,7
6,-25.0019,-18.9643,149.015,77.0345,0,7
6,-24.1114,-20.0842,167.812,3290.05,0,7
6,-23.3681,-20.9444,-76.158,345.887,0,7
6,-23.1861,-21.1457,33.0321,419.925,0,7
6,-21.3401,-23.0073,-64.0796,204.901,0,7
6,-20.7282,-23.5601,293.592,1126.11,0,7
6,-19.8665,-24.2911,-33.597,368.12,0,7
6,-19.0285,-24.953,-76.2444,489.786,0,7
6,-18.8679,-25.0747,187.592,817.817,0,7
6,-17.6371,-25.9551,19.7355,2964.06,0,7
6,-17.5846,-25.9907,260.189,419.941,0,7
6,-16.7608,-26.5294,261.786,346.582,0,7
6,-16.5668,-26.651,-52.2385,397.369,0,7
6,-15.4872,-27.2926,-50.9556,193.103,0,7
6,-14.7046,-27.722,-37.9096,444.715,0,7
6,-12.3335,-28.8552,-57.5451,189.782,0,7
6,-11.373,-29.2471,-79.5963,164.42,0,7
6,-8.37486,-30.2423,64.524,16.0277,0,7
6,-8.37486,-30.2423,183.719,153.9,0,7
6,-6.96261,-30.5983,166.864,684.568,0,7
6,-6.53879,-30.6917,139.336,1205.13,0,7
6,-5.77528,-30.8445,43.1999,219.175,0,7
6,-4.2934,-31.0854,229.071,965.917,0,7
6,-3.71412,-31.1599,201.017,1953.84,0,7
6,-2.38402,-31.2898,126.481,370.619,0,7
6,-2.24234,-31.3003,-95.6531,889.807,0,7
6,-2.20008,-31.3033,153.364,165.109,0,7
6,-1.37608,-31.3503,74.4789,2299.07,0,7
6,-1.18001,-31.3583,-70.2579,679.594,0,7
6,-0.826212,-31.3696,133.282,2639.23,0,7
6,1.32342,-31.3526,62.7496,1872.32,0,7
6,1.98316,-31.3178,-96.2083,751.515,0,7
6,3.96578,-31.1289,176.49,386.34,0,7
6,4.71396,-31.0244,100.732,1727.09,0,7
6,4.72641,-31.0225,272.182,340.001,0,7
6,4.88497,-30.9979,216.394,743.602,0,7
6,5.66848,-30.8643,-105.437,129.332,0,7
6,5.84746,-30.8309,295.513,266.656,0,7
6,6.65911,-30.6658,-72.0911,118.429,0,7
6,7.71357,-30.4177,-46.7995,127.903,0,7
6,7.75708,-30.4066,112.022,136.113,0,7
6,9.11292,-30.0282,181.997,1283.92,0,7
6,9.29297,-29.9729,193.681,123.155,0,7
6,9.8001,-29.811,-3.82593,942.096,0,7
6,9.91046,-29.7745,-68.7154,266.668,0,7
6,10.3871,-29.6115,254.75,1543.26,0,7
6,12.6883,-28.7009,164.859,188.315,0,7
6,13.7479,-28.2087,-92.4956,406.665,0,7
6,14.8263,-27.6571,192.981,635.284,0,7
6,17.4034,-26.1124,122.467,917.459,0,7
6,18.12,-25.6203,121.322,224.361,0,7
6,18.5283,-25.3266,204.261,777.764,0,7
6,19.3515,-24.7034,104.63,421.31,0,7
6,19.3006,-24.7431,146.816,1142.32,0,7
6,23.0555,-21.288,254.562,295.694,0,7
6,23.8705,-20.37,192.688,230.257,0,7
6,24.8152,-19.2078,93.72,590.554,0,7
6,27.3883,-15.3172,302.402,256.799,0,7
6,27.812,-14.5337,224.236,729.295,0,7
6,28.189,-13.7883,229.678,934.675,0,7
6,28.7173,-12.6511,-36.7701,243.753,0,7
6,28.8171,-12.4222,-88.3912,903.704,0,7
6,29.618,-10.3687,-51.4224,581.592,0,7
6,29.9653,-9.31754,305.78,36.9723,0,7
6,30.7203,-6.40291,182.413,425.753,0,7
6,30.7859,-6.0796,-84.5722,1325.77,0,7
6,30.8428,-5.78401,265.85,3138.95,0,7
6,30.8022,-5.99648,84.4626,1796.62,0,7
6,30.8903,-5.52496,-54.2011,404.351,0,7
6,30.9843,-4.97111,-6.05944,218.19,0,7
6,31.1564,-3.74372,129.169,2323.9,0,7
6,31.1804,-3.53818,180.379,1363.69,0,7
6,31.2053,-3.31178,153.414,1780.34,0,7
6,31.2431,-2.93287,-104.881,1702.54,0,7
6,31.2789,-2.52271,-39.264,270.17,0,7
6,31.3072,-2.14399,-28.3115,989.598,0,7
6,31.2955,-2.30767,285.466,1463.34,0,7
6,31.3445,-1.50173,-62.938,958.659,0,7
6,31.3782,-0.380766,228.02,594.279,0,7
6,31.3805,0.0310074,-39.9263,548.275,0,7
6,31.3752,0.575423,63.2799,344.338,0,7
6,31.257,2.78105,-100.447,673.278,0,7
6,31.0632,4.45156,166.458,1829.88,0,7
6,30.9831,4.97812,140.084,140.526,0,7
6,30.7255,6.37796,68.6551,1572.45,0,7
6,30.779,6.11485,300.653,859.819,0,7
6,30.5625,7.11829,-69.1666,1262.08,0,7
6,30.195,8.54397,-64.7474,814.415,0,7
6,30.0946,8.89103,139.08,572.196,0,7
6,27.9433,14.2795,-69.0511,459.659,0,7
6,27.9713,14.2247,-17.2508,84.6175,0,7
6,27.8568,14.4477,219.049,361.058,0,7
6,27.3247,15.4304,-97.9546,348.207,0,7
6,25.9135,17.6982,-64.9739,484.686,0,7
6,25.4157,18.406,130.253,1154.71,0,7
6,24.7263,19.3222,-49.288,565.847,0,7
6,17.9753,25.7221,155.434,64.5792,0,7
6,12.4916,28.7871,261.644,160.504,0,7
6,7.64273,30.4356,154.327,395.182,0,7
6,4.63971,31.0356,-61.7176,3321.24,0,7
6,0.862481,31.3686,140.805,154.763,0,7
6,-0.956577,31.3659,224.77,1124.37,0,7
6,-0.986736,31.365,-59.5061,1393.61,0,7
6,-2.03061,31.3147,218.808,2152.37,0,7
6,-4.53664,31.0508,-66.9757,382.171,0,7
6,-4.76107,31.0172,149.173,1346.23,0,7
6,-5.62208,30.8728,282.871,668.062,0,7
6,-6.18048,30.7658,-96.8031,283.637,0,7
6,-7.33048,30.5123,-8.88681,222.971,0,7
6,-7.35961,30.5053,142.319,42.4095,0,7
6,-7.35961,30.5053,146.268,447.167,0,7
6,-7.69899,30.4214,-8.82334,91.185,0,7
6,-7.69898,30.4214,142.182,95.1233,0,7
6,-7.69899,30.4214,144.964,243.502,0,7
6,-9.44122,29.9266,155.801,1343.42,0,7
6,-10.1536,29.6924,-43.2494,898.712,0,7
6,-11.4126,29.2316,157.844,554.439,0,7
6,-11.8932,29.0394,147.27,859.993,0,7
6,-13.7851,28.1905,228.016,275.85,0,7
6,-13.8972,28.1355,-46.2423,215.062,0,7
6,-14.5996,27.7774,-20.7024,1849.55,0,7
6,-14.8206,27.6602,301.582,1678.44,0,7
6,-18.194,25.5678,18.5171,898.467,0,7
6,-20.0348,24.1525,11.1449,898.33,0,7
6,-20.1487,24.0576,148.524,674.844,0,7
6,-20.2546,23.9684,195.052,290.299,0,7
6,-20.8928,23.4143,84.7031,1748.82,0,7
6,-21.1319,23.1987,-59.5959,741.966,0,7
6,-20.9486,23.3643,108.028,1359.23,0,7
6,-21.614,22.7502,211.666,176.126,0,7
6,-21.6262,22.7385,56.2955,79.542,0,7
6,-21.8782,22.4962,211.495,43.2219,0,7
6,-22.6394,21.73,124.871,202.744,0,7
6,-24.0557,20.1509,276.033,1737.55,0,7
6,-23.9242,20.3069,-87.1961,446.833,0,7
6,-24.4416,19.6811,-64.5827,3686.76,0,7
6,-24.6488,19.4209,220.766,1561.25,0,7
6,-26.8281,16.2785,256.444,1875.47,0,7
6,-27.5213,15.0768,6.64656,1164.56,0,7
6,-28.125,13.9184,286.409,61.7898,0,7
6,-28.9862,12.0223,-48.0799,834.849,0,7
6,-29.6803,10.1889,-61.8426,772.622,0,7
6,-29.9588,9.33849,140.55,63.4209,0,7
6,-30.808,5.967,-85.8149,967.616,0,7
6,-31.1701,3.62783,-103.119,663.275,0,7
6,-31.3678,0.891554,-73.538,5440.94,0,7
6,-31.3706,0.786509,-70.308,11.0607,0,7
6,-31.3804,-0.0931307,-75.1658,335.998,1,7
6,-31.347,-1.44915,-170.378,367.275,1,7
6,-31.3297,-1.78422,94.5068,844.609,1,7
6,-31.2157,-3.21157,-188.827,901.538,1,7
6,-31.1138,-4.08252,-100.386,546.445,1,7
6,-31.0289,-4.68434,-45.1495,1301.45,1,7
6,-31.0022,-4.85768,48.6068,282.241,1,7
6,-30.8028,-5.99339,-181.72,91.0153,1,7
6,-30.8028,-5.99339,-278.997,161.672,1,7
6,-30.6984,-6.50726,-181.141,315.978,1,7
6,-30.5458,-7.18958,-126.753,211.485,1,7
