event,x,y,z,adc,zelem,layer
43,-31.3803,-0.102158,-74.7965,950.617,0,7
43,-31.3554,-1.25495,-54.9505,1298.02,0,7
43,-31.1684,-3.64275,100.668,4559.03,0,7
43,-31.1682,-3.64403,123.151,4583.76,0,7
43,-31.2222,-3.14811,133.636,41.6418,0,7
43,-31.075,-4.36795,64.2145,2000.61,0,7
43,-30.9162,-5.37833,99.477,1063.04,0,7
43,-30.9494,-5.18387,132.536,469.161,0,7
43,-30.8558,-5.71473,-17.3508,1200.58,0,7
43,-30.8197,-5.9061,291.912,346.085,0,7
43,-30.6098,-6.91186,-75.4752,1767.96,0,7
43,-30.6517,-6.72374,64.0228,2854.84,0,7
43,-30.6326,-6.81028,128.914,286.19,0,7
43,-30.4055,-7.76168,-58.6415,610.133,0,7
43,-30.2423,-8.37483,46.292,15.3394,0,7
43,-30.0477,-9.04838,18.8918,747.544,0,7
43,-30.0965,-8.88477,44.4174,323.397,0,7
43,-30.0223,-9.13213,49.4403,295.844,0,7
43,-30.081,-8.93682,138.55,678.972,0,7
43,-30.0213,-9.13562,161.452,337.646,0,7
43,-28.8559,-12.3318,302.841,981.712,0,7
43,-28.6943,-12.7034,47.9486,583.9,0,7
43,-28.646,-12.8118,198.861,1608.69,0,7
43,-28.5739,-12.9719,-82.5668,342.886,0,7
43,-28.5221,-13.0854,-24.2397,217.136,0,7
43,-28.1696,-13.8278,-10.2189,1714.44,0,7
43,-28.0993,-13.9701,-19.5214,420.063,0,7
43,-27.7718,-14.6103,256.558,936.086,0,7
43,-27.675,-14.7928,282.905,1920.17,0,7
43,-26.7493,-16.4076,144.503,995.95,0,7
43,-26.7498,-16.4069,166.977,997.752,0,7
43,-26.7417,-16.42,34.2537,413.386,0,7
43,-25.0019,-18.9643,-8.6276,77.7807,0,7
43,-24.2436,-19.9245,252.692,281.346,0,7
43,-23.9911,-20.2278,280.344,1712.53,0,7
43,-23.4692,-20.831,-42.5541,243.287,0,7
43,-22.9517,-21.3999,286.544,904.023,0,7
43,-21.8337,-22.5394,47.7539,1516.92,0,7
43,-21.3449,-23.0028,260.676,2600.78,0,7
43,-21.3278,-23.0187,22.4757,267.92,0,7
43,-19.9911,-24.1886,-53.7137,3854.11,0,7
43,-20.2409,-23.98,143.304,384.355,0,7
43,-19.5622,-24.5369,-64.1316,300.118,0,7
43,-19.5048,-24.5825,-17.4559,235.467,0,7
43,-18.6757,-25.2181,89.5296,921.498,0,7
43,-18.682,-25.2134,112.011,865.654,0,7
43,-18.7617,-25.1542,217.832,132.054,0,7
43,-18.4831,-25.3596,80.8173,10121.9,0,7
43,-17.6131,-25.9714,74.4585,40619.4,0,7
43,-18.2091,-25.5571,294.225,597.93,0,7
43,-18.0951,-25.6379,127.144,458.058,0,7
43,-17.2587,-26.2083,291.28,295.352,0,7
43,-16.9205,-26.4279,-73.3396,463.119,0,7
43,-16.8786,-26.4546,286.435,1247.53,0,7
43,-16.0339,-26.975,243.929,1313.89,0,7
43,-13.8842,-28.1419,251.735,842.487,0,7
43,-14.2309,-27.9682,190.028,16,0,7
43,-14.2309,-27.9682,212.924,17.0002,0,7
43,-13.8207,-28.1731,143.376,751.567,0,7
43,-13.7968,-28.1848,282.77,1467.18,0,7
43,-13.6383,-28.2619,50.8808,524.028,0,7
43,-13.7483,-28.2085,103.92,712.405,0,7
43,-13.5448,-28.3068,178.604,448.061,0,7
43,-12.2381,-28.8958,259.101,1187.72,0,7
43,-7.48999,-30.4735,-60.0578,4207,0,7
43,-7.03717,-30.5813,77.668,38.0707,0,7
43,-6.40519,-30.7199,236.86,1811.77,0,7
43,-5.93606,-30.8139,171.051,1075.91,0,7
43,-3.4729,-31.1877,31.5203,3140.07,0,7
43,-4.92132,-30.9922,88.2315,2089.39,0,7
43,-4.69913,-31.0267,-30.22,161.833,0,7
43,-3.45645,-31.1896,66.0134,1096.88,0,7
43,-2.89281,-31.2469,105.834,896.899,0,7
43,-2.76343,-31.2586,94.924,1237.95,0,7
43,-2.70193,-31.264,48.5815,906.589,0,7
43,-2.54102,-31.2775,72.1895,1490.14,0,7
43,-1.63015,-31.3381,-97.8266,1335.39,0,7
43,-1.63998,-31.3376,187.621,982.76,0,7
43,-0.829323,-31.3695,-100.821,955.423,0,7
43,-0.762412,-31.3712,197.155,2833.74,0,7
43,-0.863734,-31.3686,292.505,613.37,0,7
43,1.03359,-31.3635,-77.3316,675.133,0,7
43,1.6517,-31.337,14.0417,614.452,0,7
43,3.06233,-31.2307,-83.8224,993.22,0,7
43,3.10135,-31.2269,184.986,536.886,0,7
43,3.68882,-31.1629,133.048,637.619,0,7
43,4.72116,-31.0233,304.051,2298.88,0,7
43,6.94235,-30.6029,60.5467,1176.65,0,7
43,7.35961,-30.5053,71.0703,30.5733,0,7
43,7.69899,-30.4214,70.036,15,0,7
43,7.69899,-30.4214,71.3314,91.5391,0,7
43,8.54809,-30.1938,-21.2713,5066.03,0,7
43,8.87347,-30.0998,116.439,663.849,0,7
43,9.68304,-29.8492,202.028,149.363,0,7
43,10.1871,-29.681,243.185,818.793,0,7
43,10.3067,-29.6396,-100.218,1141.83,0,7
43,10.3245,-29.6334,30.106,2560.35,0,7
43,10.6348,-29.5235,232.065,2220.51,0,7
43,11.4187,-29.2293,243.596,523.421,0,7
43,11.5403,-29.1814,295.201,612.16,0,7
43,12.2387,-28.8955,289.001,747.733,0,7
43,12.7826,-28.6591,79.3472,570.584,0,7
43,13.3245,-28.4111,-61.2568,549.151,0,7
43,13.2817,-28.4312,138.354,377.039,0,7
43,13.2823,-28.4309,160.867,364.906,0,7
43,13.7377,-28.2137,122.417,2495.14,0,7
43,13.7357,-28.2146,144.901,2524.02,0,7
43,13.8372,-28.165,9.45226,547.535,0,7
43,15.7184,-27.16,267.542,570.69,0,7
43,15.4799,-27.2967,-80.9327,717.876,0,7
43,15.6296,-27.2112,-55.829,910.955,0,7
43,16.7201,-26.5551,-43.6848,2000.09,0,7
43,17.0491,-26.3451,80.5881,2982.17,0,7
43,18.3148,-25.4815,106.405,1809.46,0,7
43,18.4595,-25.3768,-40.9549,4717.66,0,7
43,18.7464,-25.1656,9.99275,3861.71,0,7
43,18.4096,-25.4131,143.579,1142.48,0,7
43,18.553,-25.3086,-66.4698,1146.4,0,7
43,19.4597,-24.6182,292.548,253.198,0,7
43,20.136,-24.0682,292.719,440.947,0,7
43,20.5014,-23.7577,-3.43626,788.803,0,7
43,21.6159,-22.7484,150.77,1014.4,0,7
43,21.8782,-22.4962,150.831,29.2367,0,7
43,21.9083,-22.4669,230.648,351.377,0,7
43,22.43,-21.9461,228.051,83.5634,0,7
43,23.442,-20.8616,271.965,573.584,0,7
43,23.6696,-20.603,183.281,394.686,0,7
43,23.6661,-20.6071,205.744,382.123,0,7
43,23.7157,-20.55,291.726,327.331,0,7
43,24.4139,-19.7154,26.004,12463.5,0,7
43,24.3237,-19.8266,158.678,1694.91,0,7
43,24.3542,-19.7891,36.2312,276,0,7
43,24.578,-19.5104,168.697,8652.95,0,7
43,24.9957,-18.9724,61.0211,38872.7,0,7
43,24.6327,-19.4414,218.105,813.827,0,7
43,24.6815,-19.3794,186.415,23,0,7
43,24.8628,-19.1462,75.5789,494,0,7
43,25.6755,-18.0418,89.194,1179.54,0,7
43,26.1286,-17.3791,106.349,380.297,0,7
43,26.5905,-16.6637,33.996,17,0,7
43,26.8184,-16.2945,-87.2443,229.95,0,7
43,26.7745,-16.3665,-44.02,15,0,7
43,27.0692,-15.8743,-8.94189,453.166,0,7
43,27.0751,-15.8643,281.647,805.806,0,7
43,27.4171,-15.2656,163.001,564.467,0,7
43,28.5284,-13.0715,26.8693,315.285,0,7
43,28.5678,-12.9853,111.612,516.595,0,7
43,28.8305,-12.3911,177.476,400.767,0,7
43,29.18,-11.5439,294.251,8092.58,0,7
43,29.1722,-11.5637,139.608,375.375,0,7
43,30.0819,-8.93409,170.781,649.011,0,7
43,30.1471,-8.71124,-51.3981,296.157,0,7
43,30.454,-7.56918,-38.1017,1045.96,0,7
43,30.4612,-7.54016,-91.8399,2802.3,0,7
43,30.4564,-7.5595,23.0883,812.953,0,7
43,30.4949,-7.40262,287.418,589.778,0,7
43,31.0154,-4.77304,126.775,1136.66,0,7
43,31.2902,-2.37943,258.214,545.175,0,7
43,31.3413,-1.56881,159.174,2008.42,0,7
43,31.3799,-0.19315,74.1498,331.191,0,7
43,31.3803,-0.100457,280.868,303.453,0,7
43,31.3527,1.32154,72.3732,249.44,0,7
43,31.3236,1.88903,60.3391,318.191,0,7
43,31.3026,2.2096,-77.1729,1040.12,0,7
43,31.262,2.72493,-66.6487,823.786,0,7
43,31.072,4.38923,60.8666,761.284,0,7
43,30.9805,4.99421,-99.4652,860.528,0,7
43,30.9274,5.31331,-71.0222,307.503,0,7
43,30.6689,6.64492,-37.8572,1065.05,0,7
43,30.1595,8.66822,-96.8236,1957.86,0,7
43,30.0427,9.06503,139.059,702.285,0,7
43,29.2403,11.3902,136.067,879.122,0,7
43,29.1279,11.6748,52.605,427.854,0,7
43,28.5877,12.9414,101.35,3073.35,0,7
43,28.0583,14.0524,148.355,513.573,0,7
43,28.0521,14.0647,264.857,311.244,0,7
43,27.6548,14.8307,222.901,66004.4,0,7
43,27.401,15.2944,286.326,577.913,0,7
43,27.0163,15.9643,275.231,3012.01,0,7
43,27.1698,15.7016,110.435,850.604,0,7
43,27.1923,15.6624,-67.5001,694.026,0,7
43,26.576,16.6868,95.1583,830.096,0,7
43,24.9336,19.0539,25.8914,1417.77,0,7
43,25.041,18.9125,196.519,134.852,0,7
43,24.8552,19.1561,-105.378,130.475,0,7
43,24.8079,19.2173,305.675,1347.38,0,7
43,23.0967,21.2433,-105.125,100.972,0,7
43,23.0967,21.2433,-67.8362,501.277,0,7
43,23.0967,21.2433,275.064,256.235,0,7
43,22.4748,21.9003,8.37517,114.673,0,7
43,18.6846,25.2116,-80.7448,472.105,0,7
43,18.6846,25.2116,97.596,11.0707,0,7
43,18.6846,25.2116,99.5372,481.098,0,7
43,18.6846,25.2116,121.975,490.224,0,7
43,12.4916,28.7871,299.413,506.434,0,7
43,11.6851,29.1238,-2.05103,471.766,0,7
43,11.6851,29.1238,272.478,31.4124,0,7
43,8.37485,30.2423,121.764,12.176,0,7
43,8.37485,30.2423,146.596,32.3238,0,7
43,7.27449,30.5257,286.239,177.532,0,7
43,6.22735,30.7564,-33.6839,588.121,0,7
43,4.80364,31.0107,133.852,1534.1,0,7
43,3.79677,31.15,126.32,5034.54,0,7
43,3.74914,31.1557,140.161,413,0,7
43,2.77531,31.2575,-103.389,745.618,0,7
43,2.26664,31.2985,149.084,163.018,0,7
43,1.59791,31.3398,111.503,1036.48,0,7
43,1.49425,31.3449,59.6406,1471.89,0,7
43,1.63104,31.3381,85.4803,403.684,0,7
43,1.36955,31.3506,136.665,365.102,0,7
43,0.583747,31.3751,68.1132,5534.47,0,7
43,1.15706,31.3592,100.563,979.092,0,7
43,1.15294,31.3593,123.039,998.475,0,7
43,0.240903,31.3796,-100.023,1540.25,0,7
43,0.402815,31.3779,259.72,2427.41,0,7
43,0.229252,31.3797,200.9,1915.86,0,7
43,-0.838106,31.3693,61.292,7546.28,0,7
43,-1.13089,31.3601,-29.289,977.903,0,7
43,-1.98402,31.3177,-55.2138,10228.5,0,7
43,-3.90006,31.1372,29.1329,887.269,0,7
43,-4.01754,31.1223,11.2335,387.206,0,7
43,-4.1353,31.1068,187.426,204.774,0,7
43,-4.53839,31.0506,177.92,127.434,0,7
43,-4.53568,31.051,200.401,127.457,0,7
43,-8.97703,30.0691,135.121,826.158,0,7
43,-11.879,29.0452,-32.6582,716.402,0,7
43,-12.0781,28.963,177.844,1735.04,0,7
43,-12.0806,28.962,200.318,1740.11,0,7
43,-12.9588,28.5798,225.884,346.301,0,7
43,-15.4043,27.3394,201.038,808.135,0,7
43,-15.3832,27.3513,-105.5,23,0,7
43,-15.6229,27.2151,198.508,830.516,0,7
43,-15.7474,27.1433,56.9445,806.003,0,7
43,-15.8005,27.1123,299.078,562.298,0,7
43,-16.1224,26.9222,-30.2301,1170.76,0,7
43,-16.1356,26.9142,229.597,1025.84,0,7
43,-16.337,26.7925,102.998,1263.21,0,7
43,-16.3399,26.7907,125.48,1269.58,0,7
43,-17.1144,26.3027,5.27018,368.821,0,7
43,-17.1229,26.2972,94.218,134.856,0,7
43,-17.1787,26.2607,44.172,26.2003,0,7
43,-17.6296,25.9603,120.839,828.369,0,7
43,-17.6353,25.9564,143.318,837.987,0,7
43,-17.6334,25.9576,44.8842,508.245,0,7
43,-17.9339,25.7509,280.914,843.429,0,7
43,-18.2743,25.5105,-49.3727,573.067,0,7
43,-18.786,25.1361,-58.9164,786.813,0,7
43,-20.0443,24.1446,-68.8558,193.57,0,7
43,-21.6262,22.7385,-72.8742,75.3984,0,7
43,-21.9045,22.4706,-72.8802,320.035,0,7
43,-21.9018,22.4732,247.396,645.516,0,7
43,-22.7315,21.6337,-71.2035,1703.67,0,7
43,-22.7298,21.6354,122.5,5010.93,0,7
43,-23.0993,21.2405,-97.4677,405.85,0,7
43,-24.1158,20.0789,182.412,339.41,0,7
43,-24.1965,19.9816,116.148,388.303,0,7
43,-24.3745,19.7641,-100.438,993.572,0,7
43,-24.3107,19.8425,-86.0195,227.685,0,7
43,-24.4661,19.6506,-6.89539,1225.62,0,7
43,-25.0802,18.8606,231.802,1384.19,0,7
43,-25.3565,18.4874,-59.8218,9296.15,0,7
43,-25.5547,18.2124,158.457,1228.54,0,7
43,-25.5557,18.211,180.927,1216.97,0,7
43,-26.3314,17.0703,80.0269,582.566,0,7
43,-26.5245,16.7687,41.4691,1365.05,0,7
43,-26.8507,16.2412,157.622,13724.1,0,7
43,-26.6185,16.619,207.543,165.448,0,7
43,-26.9087,16.1449,7.24165,966.025,0,7
43,-27.646,14.8471,-51.5664,3237.02,0,7
43,-27.6071,14.9192,132.548,163.018,0,7
43,-27.9845,14.1988,-13.599,481.941,0,7
43,-27.9671,14.2329,268.806,365.087,0,7
43,-28.0813,14.0062,9.48308,309.469,0,7
43,-28.8985,12.2316,105.059,1028.42,0,7
43,-29.0873,11.7756,-88.3043,432.769,0,7
