event,x,y,z,adc,zelem,layer
162,-31.3696,-0.82815,121.976,839.401,0,7
162,-31.1161,-4.06525,154.223,436.428,0,7
162,-31.0326,-4.66009,261.696,986.636,0,7
162,-30.85,-5.74547,278.885,810.165,0,7
162,-30.6685,-6.64692,-90.5208,610.655,0,7
162,-30.5531,-7.15855,53.0329,711.25,0,7
162,-30.5123,-7.33044,202.423,75.8206,0,7
162,-30.407,-7.75546,-88.8553,324.522,0,7
162,-30.3993,-7.78596,-29.604,37.1387,0,7
162,-30.4214,-7.69899,202.468,45.4683,0,7
162,-29.9726,-9.29404,289.793,864.263,0,7
162,-29.2522,-11.3599,-58.2982,44.5173,0,7
162,-29.016,-11.9501,155.673,796.23,0,7
162,-28.619,-12.8721,176.757,303.552,0,7
162,-28.533,-13.0616,-54.6137,202.754,0,7
162,-28.3585,-13.4362,187.173,1738.7,0,7
162,-28.3563,-13.4407,297.258,715.834,0,7
162,-28.1946,-13.7769,-17.0708,134.046,0,7
162,-27.3231,-15.4332,50.9913,215.447,0,7
162,-26.5532,-16.7231,162.185,952.078,0,7
162,-26.7248,-16.4476,105.556,1466.12,0,7
162,-26.7176,-16.4592,72.0729,861.645,0,7
162,-26.652,-16.5653,268.838,1733.02,0,7
162,-26.1451,-17.3543,-68.9619,1171.1,0,7
162,-25.5203,-18.2607,-8.828,17.1354,0,7
162,-25.5203,-18.2607,179.225,271.167,0,7
162,-25.0019,-18.9643,-9.252,16.0555,0,7
162,-25.0019,-18.9643,21.276,17.1093,0,7
162,-25.0019,-18.9643,47.4921,381.007,0,7
162,-25.0019,-18.9643,111.213,1966.77,0,7
162,-23.5472,-20.7428,-30.4598,725.669,0,7
162,-23.4581,-20.8436,114.181,733.09,0,7
162,-22.4292,-21.9469,70.7903,345.737,0,7
162,-21.8441,-22.5293,-96.8232,733.928,0,7
162,-21.8865,-22.4882,-35.9527,309.113,0,7
162,-21.8782,-22.4962,-52.924,14.0416,0,7
162,-21.3716,-22.978,-83.2657,46.5724,0,7
162,-21.0815,-23.2445,207.702,222.651,0,7
162,-20.8811,-23.4247,-39.1496,1595.01,0,7
162,-20.7581,-23.5338,17.0113,768.793,0,7
162,-20.7662,-23.5266,233.79,2932.01,0,7
162,-19.4405,-24.6333,266.529,866.297,0,7
162,-17.2474,-26.2157,255.999,3635.69,0,7
162,-16.635,-26.6085,191.236,352.558,0,7
162,-15.343,-27.3739,173.368,580.28,0,7
162,-12.7169,-28.6883,288.396,563.935,0,7
162,-12.299,-28.8699,56.2594,642.907,0,7
162,-12.4461,-28.8068,291.387,643.151,0,7
162,-11.895,-29.0387,83.7888,851.335,0,7
162,-8.37486,-30.2423,48.6254,26.2325,0,7
162,-7.07883,-30.5717,250.806,1299.93,0,7
162,-6.63681,-30.6706,302.155,763.494,0,7
162,-5.33956,-30.9229,292.804,175.731,0,7
162,-5.23237,-30.9412,85.3785,836.196,0,7
162,-4.09996,-31.1115,55.4305,796.554,0,7
162,-3.06938,-31.23,124.348,1120.6,0,7
162,-2.37366,-31.2906,-53.1877,2023.31,0,7
162,-2.57403,-31.2748,296.419,1131.84,0,7
162,-2.41276,-31.2876,-95.8214,676.476,0,7
162,-1.66622,-31.3362,-30.3935,235.152,0,7
162,-0.779717,-31.3708,-38.7029,964.143,0,7
162,-0.670986,-31.3733,288.07,197.432,0,7
162,-0.396454,-31.378,-91.2651,142.82,0,7
162,0.245519,-31.3795,-19.2044,249.748,0,7
162,1.53308,-31.343,-87.1037,2597.79,0,7
162,1.19055,-31.3579,-32.4545,668.307,0,7
162,3.69098,-31.1627,251.999,418.302,0,7
162,4.02558,-31.1212,-81.5676,318.742,0,7
162,5.68494,-30.8613,-41.3372,580.216,0,7
162,6.91181,-30.6098,163.307,445.918,0,7
162,7.21248,-30.5404,-71.4359,561.155,0,7
162,7.26939,-30.5269,83.5024,218.803,0,7
162,7.35059,-30.5075,182.98,417.855,0,7
162,7.73672,-30.4118,-36.2284,1237.4,0,7
162,8.78649,-30.1253,194.454,456.64,0,7
162,8.79246,-30.1236,114.12,492.494,0,7
162,9.0634,-30.0431,81.3639,1333.98,0,7
162,9.11107,-30.0287,305.78,114.206,0,7
162,9.45618,-29.9218,228.52,64.2458,0,7
162,9.96149,-29.7574,33.576,307.967,0,7
162,9.97824,-29.7518,195.352,74.6863,0,7
162,10.5392,-29.5578,275.225,949.055,0,7
162,11.1037,-29.3504,-17.1335,124.299,0,7
162,11.1521,-29.332,149.326,181.762,0,7
162,11.9857,-29.0014,296.953,770.107,0,7
162,13.0108,-28.5562,142.644,960.355,0,7
162,14.3614,-27.9013,93.7873,1022.91,0,7
162,14.4287,-27.8666,73.7836,1482.55,0,7
162,14.787,-27.6781,294.734,131.112,0,7
162,15.3196,-27.387,236.39,2114.79,0,7
162,17.1322,-26.2911,300.543,1505.99,0,7
162,17.4864,-26.0569,298.138,441.975,0,7
162,17.599,-25.9809,304.091,531.061,0,7
162,19.0453,-24.9402,114.428,215.988,0,7
162,20.6686,-23.6124,114.013,438.919,0,7
162,21.1598,-23.1733,159.76,343.404,0,7
162,21.3498,-22.9983,-56.8858,1357.5,0,7
162,21.8926,-22.4822,116.543,249.793,0,7
162,23.03,-21.3157,84.6989,1199.99,0,7
162,24.5883,-19.4974,305.438,417.85,0,7
162,25.0653,-18.8804,-102.724,1656.42,0,7
162,25.0852,-18.8539,132.717,258.689,0,7
162,25.8345,-17.8134,178.148,1894.23,0,7
162,26.161,-17.3303,74.0564,183.248,0,7
162,26.2091,-17.2574,300.101,286.604,0,7
162,27.1116,-15.8018,40.4991,576.128,0,7
162,27.3719,-15.3464,243.98,2686.02,0,7
162,27.3922,-15.3103,247.268,11.3,0,7
162,27.7516,-14.6488,-70.6144,55.6525,0,7
162,27.9678,-14.2316,266.831,516.351,0,7
162,28.696,-12.6994,7.01697,402.88,0,7
162,29.266,-11.3241,-55.6307,1132.41,0,7
162,29.294,-11.2515,58.1378,1386.36,0,7
162,30.4714,-7.49849,-100.874,3812.4,0,7
162,31.2237,-3.13345,-32.7618,900.545,0,7
162,31.2978,-2.27616,-50.0474,742.531,0,7
162,31.2999,-2.24774,-92.9255,790.565,0,7
162,31.3504,-1.37326,143.612,828.33,0,7
162,31.3744,-0.616392,107.385,500.041,0,7
162,31.3771,-0.462608,263.873,892.402,0,7
162,31.3576,1.19752,-99.88,700.329,0,7
162,31.3483,1.42213,-50.7718,1163.9,0,7
162,31.3487,1.41339,-27.5455,1539.45,0,7
162,31.3392,1.60982,138.745,224.911,0,7
162,31.3286,1.80329,49.0229,96.6763,0,7
162,31.0211,4.73562,146.42,325.977,0,7
162,30.809,5.96187,-86.9628,607.004,0,7
162,30.6314,6.81557,220.25,443.109,0,7
162,29.0617,11.8387,172.22,96.2791,0,7
162,28.8562,12.331,84.2795,44.3018,0,7
162,28.7234,12.6372,225.225,1902.17,0,7
162,28.7271,12.6289,-100.233,248.883,0,7
162,28.5423,13.0413,196.393,685.47,0,7
162,28.4159,13.3144,-73.038,155.421,0,7
162,28.3854,13.3793,297.926,58.2495,0,7
162,28.1279,13.9124,256.118,2693.94,0,7
162,28.0458,14.0773,278.493,717.282,0,7
162,27.9055,14.3534,99.6141,246.983,0,7
162,27.747,14.6573,162.785,1136.64,0,7
162,27.2054,15.6397,41.1729,739.069,0,7
162,27.2349,15.5883,31.2313,3553,0,7
162,26.5929,16.6599,-96.1452,1933.94,0,7
162,26.2116,17.2536,229.233,1562.94,0,7
162,25.8797,17.7476,-37.7678,418.77,0,7
162,25.5889,18.1644,271.02,707.025,0,7
162,25.1623,18.7509,256.509,574.649,0,7
162,25.0707,18.8731,-99.1011,349.935,0,7
162,24.7885,19.2423,100.263,170.631,0,7
162,24.5442,19.553,210.059,762.402,0,7
162,18.6846,25.2116,243.906,377.582,0,7
162,18.6846,25.2116,264.881,656.279,0,7
162,18.2607,25.5202,199.536,57.5099,0,7
162,18.2607,25.5202,209.293,58.5283,0,7
162,17.9753,25.7221,-48.9008,306.073,0,7
162,17.9753,25.7221,199.704,2306.8,0,7
162,17.9753,25.7221,209.312,136.038,0,7
162,17.9753,25.7221,223.011,431.113,0,7
162,17.252,26.2127,-105.36,37.3468,0,7
162,17.252,26.2127,209.269,64.5839,0,7
162,12.4916,28.7871,241.038,331.127,0,7
162,11.6851,29.1238,-30.7012,27.248,0,7
162,6.72626,30.6512,222.4,211.942,0,7
162,6.4551,30.7094,171.704,141.853,0,7
162,4.32873,31.0805,96.9702,4127.12,0,7
162,3.92174,31.1345,37.7442,1031.83,0,7
162,2.62798,31.2703,285.18,16067.1,0,7
162,1.24567,31.3558,135.693,481.723,0,7
162,1.06922,31.3623,-100.489,228.568,0,7
162,0.62608,31.3743,300.114,211.094,0,7
162,0.454345,31.3772,55.321,507.888,0,7
162,-0.311872,31.379,188.538,828.462,0,7
162,-2.09521,31.3105,99.1684,729.729,0,7
162,-2.44666,31.285,259.17,176.179,0,7
162,-3.09709,31.2273,287.427,754.696,0,7
162,-4.75966,31.0174,299.842,697.191,0,7
162,-5.58,30.8804,195.77,619.832,0,7
162,-5.46967,30.9001,302.031,754.101,0,7
162,-6.6342,30.6712,127.096,308.425,0,7
162,-7.69899,30.4214,269.538,25.1404,0,7
162,-8.41898,30.2301,-47.7296,53.6217,0,7
162,-8.44338,30.2233,268.892,32.2774,0,7
162,-10.2371,29.6637,-9.0946,2598.91,0,7
162,-11.4281,29.2256,-103.009,453.853,0,7
162,-13.9852,28.0918,-92.9446,82.5482,0,7
162,-15.9435,27.0285,277.525,2163.2,0,7
162,-16.9718,26.395,274.022,3775.5,0,7
162,-17.1743,26.2637,54.6928,324.08,0,7
162,-18.2307,25.5417,290.855,780.2,0,7
162,-19.2078,24.8152,65.9839,181.714,0,7
162,-21.6262,22.7385,-55.4545,778.571,0,7
162,-22.7754,21.5874,268.056,1698.25,0,7
162,-23.1479,21.1875,-60.5888,523.316,0,7
162,-23.6887,20.5811,222.819,1131.77,0,7
162,-24.1206,20.0731,217.093,184.125,0,7
