event,x,y,z,adc,zelem,layer
162,-31.3696,-0.82815,121.976,839.401,0,7
162,-31.2668,-2.6688,112.208,299.103,0,7
162,-31.2605,-2.74118,241.483,493.537,0,7
162,-31.2468,-2.89322,45.1636,1579.81,0,7
162,-31.1973,-3.38614,242.194,468.066,0,7
162,-31.1236,-4.00703,242.968,202.526,0,7
162,-31.1161,-4.06525,154.223,436.428,0,7
162,-31.0312,-4.66882,146.266,764.026,0,7
162,-30.9777,-5.01191,143.45,690.466,0,7
162,-31.0426,-4.5925,243.718,124.971,0,7
162,-31.0326,-4.66009,261.696,986.636,0,7
162,-30.9523,-5.16631,244.598,254.451,0,7
162,-30.85,-5.74547,278.885,810.165,0,7
162,-30.6685,-6.64692,-90.5208,610.655,0,7
162,-30.5531,-7.15855,53.0329,711.25,0,7
162,-30.5391,-7.21795,94.7154,188.004,0,7
162,-30.5123,-7.33044,202.423,75.8206,0,7
162,-30.407,-7.75546,-88.8553,324.522,0,7
162,-30.3993,-7.78596,-29.604,37.1387,0,7
162,-30.4214,-7.69899,94.628,19.0832,0,7
162,-30.4214,-7.69899,202.468,45.4683,0,7
162,-29.9726,-9.29404,289.793,864.263,0,7
162,-29.2522,-11.3599,-58.2982,44.5173,0,7
162,-29.016,-11.9501,155.673,796.23,0,7
162,-28.5986,-12.9172,166.65,447.162,0,7
162,-28.619,-12.8721,176.757,303.552,0,7
162,-28.533,-13.0616,-54.6137,202.754,0,7
162,-28.3585,-13.4362,187.173,1738.7,0,7
162,-28.3563,-13.4407,297.258,715.834,0,7
162,-28.1946,-13.7769,-17.0708,134.046,0,7
162,-27.5068,-15.1033,147.25,2317.97,0,7
162,-27.3734,-15.3438,-89.6296,2123.69,0,7
162,-27.3231,-15.4332,50.9913,215.447,0,7
162,-27.1782,-15.687,92.2014,913.599,0,7
162,-27.2297,-15.5975,303.451,306.303,0,7
162,-26.5532,-16.7231,162.185,952.078,0,7
162,-26.7248,-16.4476,105.556,1466.12,0,7
162,-26.7176,-16.4592,72.0729,861.645,0,7
162,-26.652,-16.5653,268.838,1733.02,0,7
162,-26.1451,-17.3543,-68.9619,1171.1,0,7
162,-26.103,-17.4176,-18.4852,555.488,0,7
162,-25.5203,-18.2607,-8.828,17.1354,0,7
162,-25.5203,-18.2607,179.225,271.167,0,7
162,-25.5203,-18.2607,262.071,111.667,0,7
162,-25.0019,-18.9643,-9.252,16.0555,0,7
162,-25.0019,-18.9643,21.276,17.1093,0,7
162,-25.0019,-18.9643,47.4921,381.007,0,7
162,-25.0019,-18.9643,111.213,1966.77,0,7
162,-25.0019,-18.9643,262.532,12.0277,0,7
162,-25.0019,-18.9643,263.923,71.3616,0,7
162,-24.1065,-20.0901,99.8195,9011.6,0,7
162,-23.9524,-20.2736,265.425,1547.66,0,7
162,-23.5472,-20.7428,-30.4598,725.669,0,7
