# file event_index_in_file north south fired
ang_run_0.dat 0 0 0 0
ang_run_0.dat 1 1 1 1
ang_run_0.dat 2 0 0 0
ang_run_0.dat 3 0 0 0
ang_run_0.dat 4 0 0 0
ang_run_0.dat 5 0 0 0
ang_run_0.dat 6 0 0 0
ang_run_0.dat 7 1 1 1
ang_run_0.dat 8 1 1 1
ang_run_0.dat 9 1 1 1
ang_run_0.dat 10 0 0 0
ang_run_0.dat 11 0 0 0
ang_run_0.dat 12 1 1 1
ang_run_0.dat 13 0 0 0
ang_run_0.dat 14 0 0 0
ang_run_0.dat 15 1 1 1
ang_run_0.dat 16 1 1 1
ang_run_0.dat 17 0 0 0
ang_run_0.dat 18 1 1 1
ang_run_0.dat 19 0 0 0
ang_run_0.dat 20 1 1 1
ang_run_0.dat 21 1 1 1
ang_run_0.dat 22 1 1 1
ang_run_0.dat 23 1 1 1
ang_run_0.dat 24 1 1 1
ang_run_0.dat 25 1 1 1
ang_run_0.dat 26 1 1 1
ang_run_0.dat 27 1 1 1
ang_run_0.dat 28 1 1 1
ang_run_0.dat 29 1 1 1
ang_run_0.dat 30 0 0 0
ang_run_0.dat 31 1 1 1
ang_run_0.dat 32 0 0 0
ang_run_0.dat 33 0 0 0
ang_run_0.dat 34 0 0 0
ang_run_0.dat 35 1 1 1
ang_run_0.dat 36 1 1 1
ang_run_0.dat 37 1 1 1
ang_run_0.dat 38 0 0 0
ang_run_0.dat 39 1 1 1
ang_run_0.dat 40 1 1 1
ang_run_0.dat 41 1 1 1
ang_run_0.dat 42 1 1 1
ang_run_0.dat 43 1 1 1
ang_run_0.dat 44 1 1 1
ang_run_0.dat 45 0 0 0
ang_run_0.dat 46 1 1 1
ang_run_0.dat 47 1 1 1
ang_run_0.dat 48 1 1 1
ang_run_0.dat 49 0 0 0
ang_run_0.dat 50 1 1 1
ang_run_0.dat 51 1 1 1
ang_run_0.dat 52 0 0 0
ang_run_0.dat 53 1 1 1
ang_run_0.dat 54 1 1 1
ang_run_0.dat 55 1 1 1
ang_run_0.dat 56 1 1 1
ang_run_1.dat 0 1 1 1
ang_run_1.dat 1 1 1 1
ang_run_1.dat 2 1 1 1
ang_run_1.dat 3 1 1 1
ang_run_1.dat 4 1 1 1
ang_run_1.dat 5 0 0 0
ang_run_1.dat 6 1 1 1
ang_run_1.dat 7 1 1 1
ang_run_1.dat 8 1 1 1
ang_run_1.dat 9 1 1 1
ang_run_1.dat 10 1 1 1
ang_run_1.dat 11 1 1 1
ang_run_1.dat 12 0 0 0
ang_run_1.dat 13 1 1 1
ang_run_1.dat 14 1 1 1
ang_run_1.dat 15 0 0 0
ang_run_1.dat 16 1 1 1
ang_run_1.dat 17 1 1 1
ang_run_1.dat 18 1 1 1
ang_run_1.dat 19 0 0 0
ang_run_1.dat 20 1 1 1
ang_run_1.dat 21 0 0 0
ang_run_1.dat 22 1 1 1
ang_run_1.dat 23 0 0 0
ang_run_1.dat 24 0 0 0
ang_run_1.dat 25 0 0 0
ang_run_1.dat 26 1 1 1
ang_run_1.dat 27 1 1 1
ang_run_1.dat 28 1 1 1
ang_run_1.dat 29 0 0 0
ang_run_1.dat 30 0 0 0
ang_run_1.dat 31 0 0 0
ang_run_1.dat 32 1 1 1
ang_run_1.dat 33 1 1 1
ang_run_1.dat 34 1 1 1
ang_run_1.dat 35 0 0 0
ang_run_1.dat 36 0 0 0
ang_run_1.dat 37 1 1 1
ang_run_1.dat 38 0 0 0
ang_run_1.dat 39 0 0 0
ang_run_1.dat 40 1 1 1
ang_run_1.dat 41 1 1 1
ang_run_1.dat 42 0 0 0
ang_run_1.dat 43 0 0 0
ang_run_1.dat 44 1 1 1
ang_run_1.dat 45 1 1 1
ang_run_1.dat 46 1 1 1
ang_run_1.dat 47 1 1 1
ang_run_1.dat 48 1 1 1
ang_run_1.dat 49 0 0 0
ang_run_1.dat 50 1 1 1
ang_run_1.dat 51 1 1 1
ang_run_1.dat 52 0 0 0
ang_run_1.dat 53 1 1 1
ang_run_1.dat 54 1 1 1
ang_run_1.dat 55 1 1 1
ang_run_2.dat 0 0 0 0
ang_run_2.dat 1 1 1 1
ang_run_2.dat 2 0 0 0
ang_run_2.dat 3 1 1 1
ang_run_2.dat 4 0 0 0
ang_run_2.dat 5 0 0 0
ang_run_2.dat 6 0 0 0
ang_run_2.dat 7 1 1 1
ang_run_2.dat 8 1 1 1
ang_run_2.dat 9 0 0 0
ang_run_2.dat 10 1 1 1
ang_run_2.dat 11 1 1 1
ang_run_2.dat 12 1 1 1
ang_run_2.dat 13 1 1 1
ang_run_2.dat 14 1 1 1
ang_run_2.dat 15 1 1 1
ang_run_2.dat 16 1 1 1
ang_run_2.dat 17 1 1 1
ang_run_2.dat 18 1 1 1
ang_run_2.dat 19 1 1 1
ang_run_2.dat 20 1 1 1
ang_run_2.dat 21 0 0 0
ang_run_2.dat 22 1 1 1
ang_run_2.dat 23 1 1 1
ang_run_2.dat 24 0 0 0
ang_run_2.dat 25 1 1 1
ang_run_2.dat 26 1 1 1
ang_run_2.dat 27 1 1 1
ang_run_2.dat 28 1 1 1
ang_run_2.dat 29 1 1 1
ang_run_2.dat 30 1 1 1
ang_run_2.dat 31 1 1 1
ang_run_2.dat 32 0 0 0
ang_run_2.dat 33 0 0 0
ang_run_2.dat 34 1 1 1
ang_run_2.dat 35 0 0 0
ang_run_2.dat 36 1 1 1
ang_run_2.dat 37 1 1 1
ang_run_2.dat 38 1 1 1
ang_run_2.dat 39 1 1 1
ang_run_2.dat 40 0 0 0
ang_run_2.dat 41 1 1 1
ang_run_2.dat 42 0 0 0
ang_run_2.dat 43 0 0 0
ang_run_2.dat 44 1 1 1
ang_run_2.dat 45 0 0 0
ang_run_2.dat 46 0 0 0
ang_run_2.dat 47 1 1 1
ang_run_2.dat 48 0 0 0
ang_run_2.dat 49 1 1 1
ang_run_2.dat 50 0 0 0
ang_run_2.dat 51 1 1 1
ang_run_2.dat 52 1 1 1
ang_run_2.dat 53 0 0 0
ang_run_2.dat 54 1 1 1
ang_run_3.dat 0 0 0 0
ang_run_3.dat 1 0 0 0
ang_run_3.dat 2 0 0 0
ang_run_3.dat 3 1 1 1
ang_run_3.dat 4 1 1 1
ang_run_3.dat 5 1 1 1
ang_run_3.dat 6 0 0 0
ang_run_3.dat 7 0 0 0
ang_run_3.dat 8 1 1 1
ang_run_3.dat 9 1 1 1
ang_run_3.dat 10 1 1 1
ang_run_3.dat 11 1 1 1
ang_run_3.dat 12 1 1 1
ang_run_3.dat 13 0 0 0
ang_run_3.dat 14 1 1 1
ang_run_3.dat 15 1 1 1
ang_run_3.dat 16 0 0 0
ang_run_3.dat 17 0 0 0
ang_run_3.dat 18 1 1 1
ang_run_3.dat 19 0 0 0
ang_run_3.dat 20 1 1 1
ang_run_3.dat 21 0 0 0
ang_run_3.dat 22 1 1 1
ang_run_3.dat 23 1 1 1
ang_run_3.dat 24 1 1 1
ang_run_3.dat 25 0 0 0
ang_run_3.dat 26 1 1 1
ang_run_3.dat 27 1 1 1
ang_run_3.dat 28 1 1 1
ang_run_3.dat 29 1 1 1
ang_run_3.dat 30 1 1 1
ang_run_3.dat 31 0 0 0
ang_run_3.dat 32 1 1 1
ang_run_3.dat 33 1 1 1
ang_run_3.dat 34 0 0 0
ang_run_3.dat 35 1 1 1
ang_run_3.dat 36 1 1 1
ang_run_3.dat 37 0 0 0
ang_run_3.dat 38 1 1 1
ang_run_3.dat 39 0 0 0
ang_run_3.dat 40 1 1 1
ang_run_3.dat 41 0 0 0
ang_run_3.dat 42 1 1 1
ang_run_3.dat 43 1 1 1
ang_run_3.dat 44 1 1 1
ang_run_3.dat 45 1 1 1
ang_run_3.dat 46 1 1 1
ang_run_3.dat 47 1 1 1
