# RETIRED 2026-08-17 (laser_flash_remodel_request.md V6): this list flagged the local
# SLOPE of each event's arrival curve, not a flash. Only event 44 carries a flash.
# Kept for provenance; do NOT use as a flash list.
# frames with laser-flash excess (spike[325-340] - control[350-365] > 300 hits)
# event excess
2 364
4 309
10 1588
12 349
13 928
14 488
17 754
20 1278
22 1106
23 2044
25 1077
30 1684
31 875
35 311
36 2143
41 951
42 808
44 109436
47 423
49 936
54 397
56 347
57 1449
58 347
59 574
60 764
61 1677
63 838
64 900
66 741
68 403
69 618
70 380
76 460
80 708
82 687
83 858
87 5833
88 667
90 1132
92 367
94 4393
97 457
100 783
