# file event_index_in_file north south fired
pau200.dat 0 4 8 1
pau200.dat 1 2 2 1
pau200.dat 2 0 0 0
pau200.dat 3 1 2 1
pau200.dat 4 1 4 1
pau200.dat 5 2 1 1
pau200.dat 6 0 1 0
pau200.dat 7 1 3 1
pau200.dat 8 0 4 0
pau200.dat 9 2 4 1
pau200.dat 10 1 1 1
pau200.dat 11 1 3 1
pau200.dat 12 1 1 1
pau200.dat 13 0 0 0
pau200.dat 14 0 0 0
pau200.dat 15 2 0 0
pau200.dat 16 1 2 1
pau200.dat 17 0 4 0
pau200.dat 18 0 0 0
pau200.dat 19 0 5 0
pau200.dat 20 0 0 0
pau200.dat 21 0 0 0
pau200.dat 22 0 1 0
pau200.dat 23 0 1 0
pau200.dat 24 1 1 1
pau200.dat 25 1 2 1
pau200.dat 26 0 3 0
pau200.dat 27 0 1 0
pau200.dat 28 1 0 0
pau200.dat 29 0 4 0
pau200.dat 30 0 0 0
pau200.dat 31 2 0 0
pau200.dat 32 1 4 1
pau200.dat 33 0 2 0
pau200.dat 34 0 1 0
pau200.dat 35 1 0 0
pau200.dat 36 0 2 0
pau200.dat 37 1 6 1
pau200.dat 38 1 2 1
pau200.dat 39 0 0 0
pau200.dat 40 1 1 1
pau200.dat 41 2 5 1
pau200.dat 42 3 7 1
pau200.dat 43 0 3 0
pau200.dat 44 1 0 0
pau200.dat 45 0 3 0
pau200.dat 46 1 0 0
pau200.dat 47 0 5 0
pau200.dat 48 2 5 1
pau200.dat 49 0 0 0
pau200.dat 50 2 2 1
pau200.dat 51 1 0 0
pau200.dat 52 0 4 0
pau200.dat 53 1 0 0
pau200.dat 54 1 1 1
pau200.dat 55 3 1 1
pau200.dat 56 0 1 0
pau200.dat 57 1 6 1
pau200.dat 58 2 0 0
pau200.dat 59 0 2 0
pau_chunk_a.dat 0 0 3 0
pau_chunk_a.dat 1 0 4 0
pau_chunk_a.dat 2 0 0 0
pau_chunk_a.dat 3 1 2 1
pau_chunk_a.dat 4 4 1 1
pau_chunk_a.dat 5 1 1 1
pau_chunk_a.dat 6 0 1 0
pau_chunk_a.dat 7 1 2 1
pau_chunk_a.dat 8 2 1 1
pau_chunk_a.dat 9 0 3 0
pau_chunk_a.dat 10 0 1 0
pau_chunk_a.dat 11 1 0 0
pau_chunk_a.dat 12 1 3 1
pau_chunk_a.dat 13 1 2 1
pau_chunk_a.dat 14 1 0 0
pau_chunk_a.dat 15 0 5 0
pau_chunk_a.dat 16 1 1 1
pau_chunk_a.dat 17 1 0 0
pau_chunk_a.dat 18 0 1 0
