[roadscan_probe v6] road scan of the real pixel association (nominal 1.2 cm, +-6 tbins)
  sim reference (truth-grouped digi, no road): GLOBAL 1539 | LOCAL 1337 um
  RXY  DT | tracks px/trk | Graw  Gclip  pickup | LOCAL | dM/C: Graw Gclip LOCAL | clip%
  0.3   3 |  4851    105 |  1429  1392    325 |  1082 |       0.93  0.90  0.81 |  0.0
  0.6   3 |  4852    113 |  1617  1505    593 |  1151 |       1.05  0.98  0.86 |  0.0
  0.9   3 |  4846    116 |  1804  1513    983 |  1165 |       1.17  0.98  0.87 |  0.9
  1.2   3 |  4838    117 |  2031  1520   1347 |  1177 |       1.32  0.99  0.88 |  1.8
  1.8   3 |  4828    120 |  2739  1533   2269 |  1199 |       1.78  1.00  0.90 |  3.8
  0.3   6 |  4852    108 |  1434  1397    325 |  1085 |       0.93  0.91  0.81 |  0.0
  0.6   6 |  4848    118 |  1691  1558    658 |  1168 |       1.10  1.01  0.87 |  0.0
  0.9   6 |  4845    121 |  1975  1578   1187 |  1189 |       1.28  1.03  0.89 |  1.6
  1.2   6 |  4836    124 |  2358  1590   1741 |  1205 |       1.53  1.03  0.90 |  3.1
  1.8   6 |  4807    130 |  3458  1631   3050 |  1239 |       2.25  1.06  0.93 |  5.7
  0.3  10 |  4851    111 |  1443  1408    314 |  1091 |       0.94  0.91  0.82 |  0.0
  0.6  10 |  4853    123 |  1781  1628    721 |  1192 |       1.16  1.06  0.89 |  0.0
  0.9  10 |  4846    129 |  2176  1662   1404 |  1223 |       1.41  1.08  0.91 |  2.2
  1.2  10 |  4829    134 |  2744  1691   2161 |  1247 |       1.78  1.10  0.93 |  4.3
  1.8  10 |  4792    143 |  4156  1772   3759 |  1295 |       2.70  1.15  0.97 |  7.1
