# tpc_geom_table.txt — V6 real-radius bake (2026-08-19): column 3 (radius) = REAL
# row radii of run 79507 (= GDML radius + real_row_radii_v54.txt offset; verified
# against per-layer median cluster r: L7 31.5002 L22 39.9875 L23 41.6616 L54 75.3709).
# Columns nbins/slope/phi0 are ANALYTIC (ideal pad plane) — do NOT refit them: phi
# wraps at +-pi, a naive LSQ of phi vs pad returns garbage layer-dependent slopes.
# GDML original: tpc_geom_table_gdml.txt. geomfit.C regenerates GDML radii — if it
# is ever re-run, re-apply the real column. Consumers pick this up via loadGeo():
# tpc_digitize (transport share width, field d/r), islandize91 (cluster r; rowdr
# arg now "" — passing real_row_radii_v54.txt again would DOUBLE-COUNT), hits69
# (pixel r), truth_circle/ms_* (other thread).
# layer nbins radius slope phi0_side0 phi0_side1
7 1128 31.5002 0.0055701998 -3.138808 -3.138808
8 1128 32.0633 0.0055701998 -3.138808 -3.138808
9 1128 32.6322 0.0055701998 -3.138808 -3.138808
10 1128 33.1953 0.0055701998 -3.138808 -3.138808
11 1128 33.7642 0.0055701998 -3.138808 -3.138808
12 1128 34.3274 0.0055701998 -3.138808 -3.138808
13 1128 34.8962 0.0055701998 -3.138808 -3.138808
14 1128 35.4593 0.0055701998 -3.138808 -3.138808
15 1128 36.0283 0.0055701998 -3.138808 -3.138808
16 1128 36.5913 0.0055701998 -3.138808 -3.138808
17 1128 37.1603 0.0055701998 -3.138808 -3.138808
18 1128 37.7234 0.0055701998 -3.138808 -3.138808
19 1128 38.2923 0.0055701998 -3.138808 -3.138808
20 1128 38.8554 0.0055701998 -3.138808 -3.138808
21 1128 39.4244 0.0055701998 -3.138808 -3.138808
22 1128 39.9875 0.0055701998 -3.138808 -3.138808
23 1536 41.6617 0.0040906154 -3.139547 -3.139547
24 1536 42.6823 0.0040906154 -3.139547 -3.139547
25 1536 43.7030 0.0040906154 -3.139547 -3.139547
26 1536 44.7237 0.0040906154 -3.139547 -3.139547
27 1536 45.7445 0.0040906154 -3.139547 -3.139547
28 1536 46.7652 0.0040906154 -3.139547 -3.139547
29 1536 47.7860 0.0040906154 -3.139547 -3.139547
30 1536 48.8067 0.0040906154 -3.139547 -3.139547
31 1536 49.8276 0.0040906154 -3.139547 -3.139547
32 1536 50.8482 0.0040906154 -3.139547 -3.139547
33 1536 51.8689 0.0040906154 -3.139547 -3.139547
34 1536 52.8896 0.0040906154 -3.139547 -3.139547
35 1536 53.9103 0.0040906154 -3.139547 -3.139547
36 1536 54.9312 0.0040906154 -3.139547 -3.139547
37 1536 55.9519 0.0040906154 -3.139547 -3.139547
38 1536 56.9727 0.0040906154 -3.139547 -3.139547
39 2304 58.9142 0.0027270770 -3.140229 -3.140229
40 2304 60.0113 0.0027270770 -3.140229 -3.140229
41 2304 61.1084 0.0027270770 -3.140229 -3.140229
42 2304 62.2055 0.0027270770 -3.140229 -3.140229
43 2304 63.3026 0.0027270770 -3.140229 -3.140229
44 2304 64.3996 0.0027270770 -3.140229 -3.140229
45 2304 65.4969 0.0027270770 -3.140229 -3.140229
46 2304 66.5939 0.0027270770 -3.140229 -3.140229
47 2304 67.6911 0.0027270770 -3.140229 -3.140229
48 2304 68.7883 0.0027270770 -3.140229 -3.140229
49 2304 69.8852 0.0027270770 -3.140229 -3.140229
50 2304 70.9824 0.0027270770 -3.140229 -3.140229
51 2304 72.0795 0.0027270770 -3.140229 -3.140229
52 2304 73.1767 0.0027270770 -3.140229 -3.140229
53 2304 74.2738 0.0027270770 -3.140229 -3.140229
54 2304 75.3709 0.0027270770 -3.140229 -3.140229
