# layer nbins radius slope phi0_side0 phi0_side1
7 1128 31.3805 0.0055701998 -3.138808 -3.138808
8 1128 31.9520 0.0055701998 -3.138808 -3.138808
9 1128 32.5230 0.0055701998 -3.138808 -3.138808
10 1128 33.0944 0.0055701998 -3.138808 -3.138808
11 1128 33.6651 0.0055701998 -3.138808 -3.138808
12 1128 34.2368 0.0055701998 -3.138808 -3.138808
13 1128 34.8079 0.0055701998 -3.138808 -3.138808
14 1128 35.3797 0.0055701998 -3.138808 -3.138808
15 1128 35.9509 0.0055701998 -3.138808 -3.138808
16 1128 36.5226 0.0055701998 -3.138808 -3.138808
17 1128 37.0937 0.0055701998 -3.138808 -3.138808
18 1128 37.6650 0.0055701998 -3.138808 -3.138808
19 1128 38.2361 0.0055701998 -3.138808 -3.138808
20 1128 38.8074 0.0055701998 -3.138808 -3.138808
21 1128 39.3781 0.0055701998 -3.138808 -3.138808
22 1128 39.9488 0.0055701998 -3.138808 -3.138808
23 1536 41.6664 0.0040906154 -3.139547 -3.139547
24 1536 42.6869 0.0040906154 -3.139547 -3.139547
25 1536 43.7068 0.0040906154 -3.139547 -3.139547
26 1536 44.7268 0.0040906154 -3.139547 -3.139547
27 1536 45.7471 0.0040906154 -3.139547 -3.139547
28 1536 46.7675 0.0040906154 -3.139547 -3.139547
29 1536 47.7879 0.0040906154 -3.139547 -3.139547
30 1536 48.8080 0.0040906154 -3.139547 -3.139547
31 1536 49.8275 0.0040906154 -3.139547 -3.139547
32 1536 50.8476 0.0040906154 -3.139547 -3.139547
33 1536 51.8682 0.0040906154 -3.139547 -3.139547
34 1536 52.8884 0.0040906154 -3.139547 -3.139547
35 1536 53.9086 0.0040906154 -3.139547 -3.139547
36 1536 54.9287 0.0040906154 -3.139547 -3.139547
37 1536 55.9490 0.0040906154 -3.139547 -3.139547
38 1536 56.9703 0.0040906154 -3.139547 -3.139547
39 2304 58.9184 0.0027270770 -3.140229 -3.140229
40 2304 60.0152 0.0027270770 -3.140229 -3.140229
41 2304 61.1115 0.0027270770 -3.140229 -3.140229
42 2304 62.2087 0.0027270770 -3.140229 -3.140229
43 2304 63.3056 0.0027270770 -3.140229 -3.140229
44 2304 64.4019 0.0027270770 -3.140229 -3.140229
45 2304 65.4994 0.0027270770 -3.140229 -3.140229
46 2304 66.5965 0.0027270770 -3.140229 -3.140229
47 2304 67.7001 0.0027270770 -3.140229 -3.140229
48 2304 68.7908 0.0027270770 -3.140229 -3.140229
49 2304 69.8867 0.0027270770 -3.140229 -3.140229
50 2304 70.9838 0.0027270770 -3.140229 -3.140229
51 2304 72.0802 0.0027270770 -3.140229 -3.140229
52 2304 73.1772 0.0027270770 -3.140229 -3.140229
53 2304 74.2732 0.0027270770 -3.140229 -3.140229
54 2304 75.3694 0.0027270770 -3.140229 -3.140229
