# twist_payload_v6.txt — FROZEN injection payload for the pipeline driver (copied
# 2026-08-23 from twist_profile_v6.txt as delivered by twist_field_request.md).
# twist_profile_v6.txt is twist_probe.C's OUTPUT and gets overwritten on every
# acceptance run (delta -> ~0 once the twist is injected) — never inject from it.
# twist_profile_v6.txt — mean fit-orthogonal r-phi displacement [um] of kept pixels vs pad row,
# real (tracker-road groups, trimmed fits) minus sim digi v6 (truth groups). INJECT column 'delta'
# as an azimuthal displacement D(rphi)=delta [um] at radius r: dphi = delta*1e-4/r, per side.
# sign: positive = pixel at LARGER azimuth than the fitted circle (counter-clockwise in x-y).
# layer side real_um sim_um delta_um
7 0 768.9 -93.4 862.3
7 1 922.5 166.5 756.0
8 0 304.9 -113.5 418.4
8 1 430.9 14.9 415.9
9 0 316.5 110.7 205.8
9 1 386.3 -47.9 434.1
10 0 213.6 68.4 145.1
10 1 191.3 -36.4 227.6
11 0 216.7 28.6 188.1
11 1 147.3 -74.8 222.1
12 0 -27.9 294.6 -322.5
12 1 63.2 -105.7 169.0
13 0 -60.8 137.4 -198.2
13 1 16.8 -83.9 100.7
14 0 -184.4 -197.4 13.0
14 1 -74.9 -140.5 65.6
15 0 -151.9 -6.6 -145.4
15 1 -156.0 -43.2 -112.8
16 0 -226.6 -76.9 -149.7
16 1 -227.0 70.5 -297.5
17 0 -234.4 -103.9 -130.5
17 1 -245.9 98.4 -344.3
18 0 -409.8 89.1 -498.9
18 1 -419.5 -92.0 -327.5
19 0 -522.1 58.8 -580.9
19 1 -500.3 -35.9 -464.4
20 0 -604.0 122.1 -726.1
20 1 -761.6 63.0 -824.6
21 0 -829.4 -81.5 -747.8
21 1 -834.6 -90.0 -744.6
22 0 -1268.5 -59.3 -1209.2
22 1 -1408.4 18.6 -1426.9
23 0 448.7 -46.3 495.0
23 1 429.8 -0.6 430.3
24 0 -120.5 -137.1 16.5
24 1 -145.0 -20.8 -124.2
25 0 -212.4 -72.8 -139.5
25 1 -284.8 -5.6 -279.2
26 0 -291.3 88.1 -379.4
26 1 -278.3 -84.9 -193.4
27 0 -200.4 -99.3 -101.1
27 1 -217.4 120.0 -337.4
28 0 -71.9 6.7 -78.6
28 1 -291.1 21.9 -313.0
29 0 -173.6 75.9 -249.4
29 1 -229.0 127.4 -356.4
30 0 -101.1 -93.6 -7.5
30 1 -228.3 26.2 -254.5
31 0 -156.9 -71.4 -85.5
31 1 -221.8 -20.6 -201.3
32 0 -91.3 42.1 -133.4
32 1 -154.7 -127.4 -27.3
33 0 -41.4 4.5 -45.9
33 1 -173.5 25.6 -199.1
34 0 -14.6 -43.8 29.2
34 1 -188.4 -12.0 -176.3
35 0 -91.8 91.5 -183.3
35 1 -139.2 271.0 -410.2
36 0 -71.9 -5.5 -66.4
36 1 -166.2 51.2 -217.4
37 0 -196.4 8.9 -205.3
37 1 -270.0 44.5 -314.5
38 0 -568.1 -108.6 -459.4
38 1 -560.6 84.2 -644.8
39 0 982.4 130.8 851.6
39 1 1021.9 -128.8 1150.7
40 0 411.0 66.4 344.7
40 1 495.0 -105.0 600.1
41 0 371.9 22.2 349.8
41 1 443.2 -188.8 632.1
42 0 353.9 162.1 191.8
42 1 407.1 -98.3 505.3
43 0 340.2 -105.7 445.9
43 1 419.1 154.9 264.1
44 0 251.5 -67.6 319.0
44 1 427.3 -203.4 630.7
45 0 297.5 -4.2 301.7
45 1 398.7 85.2 313.5
46 0 230.1 -94.9 325.0
46 1 337.5 48.0 289.5
47 0 247.1 163.2 83.9
47 1 255.6 38.0 217.6
48 0 171.0 253.7 -82.7
48 1 192.4 55.8 136.6
49 0 90.5 -76.3 166.7
49 1 92.6 4.5 88.1
50 0 12.9 -185.0 197.8
50 1 17.9 -125.9 143.7
51 0 -64.7 -4.9 -59.8
51 1 -155.6 -168.1 12.5
52 0 -288.3 -57.4 -230.9
52 1 -414.7 117.4 -532.1
53 0 -425.6 20.4 -446.0
53 1 -622.8 -118.0 -504.9
54 0 -692.4 45.5 -737.9
54 1 -1011.5 233.7 -1245.2
