# twist_profile_detw.txt — mean fit-orthogonal r-phi displacement [um] of kept pixels vs pad row,
# real (tracker-road groups, trimmed fits) minus sim digi v6 (truth groups). INJECT column 'delta'
# as an azimuthal displacement D(rphi)=delta [um] at radius r: dphi = delta*1e-4/r, per side.
# sign: positive = pixel at LARGER azimuth than the fitted circle (counter-clockwise in x-y).
# layer side real_um sim_um delta_um
7 0 768.9 736.4 32.5
7 1 922.5 618.5 304.0
8 0 304.9 313.6 -8.7
8 1 430.9 295.0 135.9
9 0 316.5 202.8 113.7
9 1 386.3 325.8 60.5
10 0 213.6 158.0 55.5
10 1 191.3 176.8 14.5
11 0 216.7 190.1 26.7
11 1 147.3 185.1 -37.7
12 0 -27.9 -189.6 161.7
12 1 63.2 126.4 -63.1
13 0 -60.8 -102.7 41.9
13 1 16.8 107.0 -90.2
14 0 -184.4 52.8 -237.2
14 1 -74.9 100.2 -175.1
15 0 -151.9 -34.1 -117.8
15 1 -156.0 -31.0 -125.0
16 0 -226.6 -40.7 -185.9
16 1 -227.0 -133.7 -93.3
17 0 -234.4 -12.3 -222.1
17 1 -245.9 -172.9 -73.0
18 0 -409.8 -313.0 -96.8
18 1 -419.5 -173.1 -246.4
19 0 -522.1 -385.9 -136.2
19 1 -500.3 -258.7 -241.6
20 0 -604.0 -478.2 -125.8
20 1 -761.6 -605.9 -155.7
21 0 -829.4 -565.9 -263.5
21 1 -834.6 -551.4 -283.2
22 0 -1268.5 -1062.7 -205.8
22 1 -1408.4 -1205.1 -203.3
23 0 448.7 666.9 -218.2
23 1 429.8 651.4 -221.6
24 0 -120.5 137.4 -257.9
24 1 -145.0 76.2 -221.2
25 0 -212.4 -1.3 -211.1
25 1 -284.8 -86.3 -198.5
26 0 -291.3 -208.3 -83.0
26 1 -278.3 -11.1 -267.2
27 0 -200.4 6.0 -206.4
27 1 -217.4 -134.1 -83.2
28 0 -71.9 25.5 -97.4
28 1 -291.1 -141.2 -149.8
29 0 -173.6 -120.4 -53.2
29 1 -229.0 -174.9 -54.2
30 0 -101.1 56.6 -157.7
30 1 -228.3 -99.9 -128.4
31 0 -156.9 -17.5 -139.4
31 1 -221.8 -68.2 -153.6
32 0 -91.3 -66.7 -24.6
32 1 -154.7 62.7 -217.4
33 0 -41.4 15.3 -56.6
33 1 -173.5 -98.2 -75.2
34 0 -14.6 53.4 -68.0
34 1 -188.4 -114.1 -74.2
35 0 -91.8 -145.1 53.3
35 1 -139.2 -294.4 155.2
36 0 -71.9 -63.6 -8.3
36 1 -166.2 -161.5 -4.8
37 0 -196.4 -216.2 19.8
37 1 -270.0 -306.9 36.9
38 0 -568.1 -517.4 -50.7
38 1 -560.6 -646.7 86.1
39 0 982.4 805.5 177.0
39 1 1021.9 1011.1 10.8
40 0 411.0 289.9 121.1
40 1 495.0 488.7 6.4
41 0 371.9 304.3 67.6
41 1 443.2 470.3 -27.1
42 0 353.9 153.6 200.3
42 1 407.1 375.5 31.6
43 0 340.2 345.6 -5.4
43 1 419.1 215.0 204.0
44 0 251.5 238.7 12.8
44 1 427.3 482.8 -55.5
45 0 297.5 241.1 56.4
45 1 398.7 276.8 121.9
46 0 230.1 256.0 -25.9
46 1 337.5 206.5 131.0
47 0 247.1 85.6 161.5
47 1 255.6 197.6 57.9
48 0 171.0 -48.8 219.8
48 1 192.4 163.2 29.3
49 0 90.5 106.4 -16.0
49 1 92.6 98.9 -6.2
50 0 12.9 145.8 -133.0
50 1 17.9 146.9 -129.1
51 0 -64.7 -28.0 -36.8
51 1 -155.6 8.9 -164.5
52 0 -288.3 -193.0 -95.3
52 1 -414.7 -374.9 -39.8
53 0 -425.6 -352.5 -73.2
53 1 -622.8 -349.9 -272.9
54 0 -692.4 -601.8 -90.6
54 1 -1011.5 -931.7 -79.8
