# twist_profile_v6t.txt — mean fit-orthogonal r-phi displacement [um] of kept pixels vs pad row,
# real (tracker-road groups, trimmed fits) minus sim digi v6 (truth groups). INJECT column 'delta'
# as an azimuthal displacement D(rphi)=delta [um] at radius r: dphi = delta*1e-4/r, per side.
# sign: positive = pixel at LARGER azimuth than the fitted circle (counter-clockwise in x-y).
# layer side real_um sim_um delta_um
7 0 768.9 639.3 129.5
7 1 922.5 691.3 231.1
8 0 304.9 215.8 89.1
8 1 430.9 300.9 130.0
9 0 316.5 284.3 32.2
9 1 386.3 307.1 79.2
10 0 213.6 197.2 16.3
10 1 191.3 148.6 42.7
11 0 216.7 211.9 4.8
11 1 147.3 105.0 42.4
12 0 -27.9 25.8 -53.7
12 1 63.2 62.2 1.0
13 0 -60.8 41.2 -102.0
13 1 16.8 62.7 -45.9
14 0 -184.4 -115.0 -69.4
14 1 -74.9 3.7 -78.5
15 0 -151.9 -28.0 -124.0
15 1 -156.0 -43.5 -112.5
16 0 -226.6 -90.4 -136.2
16 1 -227.0 -93.1 -133.9
17 0 -234.4 -88.2 -146.2
17 1 -245.9 -105.8 -140.1
18 0 -409.8 -229.7 -180.1
18 1 -419.5 -244.0 -175.5
19 0 -522.1 -326.5 -195.6
19 1 -500.3 -304.1 -196.2
20 0 -604.0 -387.6 -216.4
20 1 -761.6 -538.1 -223.5
21 0 -829.4 -637.8 -191.6
21 1 -834.6 -616.9 -217.7
22 0 -1268.5 -1046.7 -221.8
22 1 -1408.4 -1137.4 -271.0
23 0 448.7 586.6 -137.9
23 1 429.8 611.2 -181.4
24 0 -120.5 41.4 -161.9
24 1 -145.0 72.1 -217.1
25 0 -212.4 -44.8 -167.6
25 1 -284.8 -71.5 -213.3
26 0 -291.3 -120.2 -171.1
26 1 -278.3 -58.5 -219.8
27 0 -200.4 -60.8 -139.6
27 1 -217.4 -12.9 -204.4
28 0 -71.9 65.7 -137.5
28 1 -291.1 -123.5 -167.5
29 0 -173.6 -56.9 -116.7
29 1 -229.0 -62.2 -166.9
30 0 -101.1 7.2 -108.3
30 1 -228.3 -94.6 -133.7
31 0 -156.9 -71.4 -85.5
31 1 -221.8 -86.9 -134.9
32 0 -91.3 -26.2 -65.1
32 1 -154.7 -40.5 -114.2
33 0 -41.4 -6.4 -35.0
33 1 -173.5 -67.5 -105.9
34 0 -14.6 -8.9 -5.7
34 1 -188.4 -119.9 -68.5
35 0 -91.8 -89.6 -2.2
35 1 -139.2 -64.8 -74.4
36 0 -71.9 -76.8 5.0
36 1 -166.2 -119.4 -46.8
37 0 -196.4 -194.6 -1.8
37 1 -270.0 -258.5 -11.5
38 0 -568.1 -532.9 -35.2
38 1 -560.6 -561.6 1.0
39 0 982.4 852.8 129.6
39 1 1021.9 882.9 139.1
40 0 411.0 325.1 86.0
40 1 495.0 396.1 98.9
41 0 371.9 284.9 87.0
41 1 443.2 320.9 122.4
42 0 353.9 298.9 55.0
42 1 407.1 310.2 96.9
43 0 340.2 253.9 86.3
43 1 419.1 308.2 110.8
44 0 251.5 171.7 79.8
44 1 427.3 319.6 107.7
45 0 297.5 243.4 54.2
45 1 398.7 343.2 55.5
46 0 230.1 155.4 74.7
46 1 337.5 203.5 134.0
47 0 247.1 183.9 63.2
47 1 255.6 202.9 52.7
48 0 171.0 150.5 20.5
48 1 192.4 159.8 32.6
49 0 90.5 35.6 54.9
49 1 92.6 114.5 -21.9
50 0 12.9 -13.3 26.1
50 1 17.9 31.5 -13.6
51 0 -64.7 -64.5 -0.2
51 1 -155.6 -107.2 -48.4
52 0 -288.3 -235.2 -53.2
52 1 -414.7 -280.6 -134.1
53 0 -425.6 -352.0 -73.6
53 1 -622.8 -454.7 -168.2
54 0 -692.4 -528.6 -163.8
54 1 -1011.5 -694.3 -317.2
